CODE,TYPE,EXERCISE,EXPIRY,RATIO,EX STYLE,ISSUER,REGISTRY,LISTED,ISSUED (M),NOTES
AMPISI,Instalment Regular Normal,3.0883,08/06/2018,1.0,American,UBS,COR,20/10/2014,10,
AMPISK,Instalment Regular Normal,3.3261,08/06/2018,1.0,American,UBS,COR,31/05/2016,10,
AMPJOA,Instalment MINI,2.3092,18/11/2021,1.0,American,CITIWARRANTS,COR,25/11/2016,10,
AMPJOE,Instalment MINI,4.1224,14/04/2020,1.0,American,CITIWARRANTS,COR,15/04/2015,10,
AMPJOJ,Instalment MINI,3.5433,31/05/2018,1.0,American,CITIWARRANTS,COR,04/06/2013,10,
AMPJON,Instalment MINI,3.0567,20/01/2021,1.0,American,CITIWARRANTS,COR,03/06/2016,10,
AMPJOZ,Instalment MINI,2.6482,18/11/2021,1.0,American,CITIWARRANTS,COR,25/11/2016,10,
AMPKOA,MINI Call,3.0565,31/12/2029,1.0,American,CITIWARRANTS,COR,28/08/2015,9.3,
AMPKOB,MINI Call,3.8266,31/12/2029,1.0,American,CITIWARRANTS,COR,01/03/2016,9.3,
AMPKOD,MINI Call,3.595,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,9.3,
AMPKOE,MINI Call,3.3593,31/12/2029,1.0,American,CITIWARRANTS,COR,30/06/2016,9.3,
AMPKOG,MINI Call,4.3004,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,9.3,
AMPKOP,MINI Put,7.666,31/12/2029,1.0,American,CITIWARRANTS,COR,05/09/2016,9.3,
AMPKOR,MINI Put,6.1309,31/12/2029,1.0,American,CITIWARRANTS,COR,25/05/2017,9.03,
AMPKOS,MINI Put,7.0137,31/12/2029,1.0,American,CITIWARRANTS,COR,12/08/2015,9.3,
AMPKOT,MINI Put,7.2871,31/12/2029,1.0,American,CITIWARRANTS,COR,13/01/2017,9.3,
AMPKOV,MINI Put,6.4114,31/12/2029,1.0,American,CITIWARRANTS,COR,21/12/2012,10,Please note this product may have a 4 decimal place barrier price. Refer to daily disclosure documents released by the warrant issuer.
AMPLOA,GSL MINI Call,4.8769,31/12/2029,1.0,American,CITIWARRANTS,COR,19/08/2015,9.3,
AMPLOB,GSL MINI Call,4.6261,31/12/2029,1.0,American,CITIWARRANTS,COR,23/02/2016,9.3,
AMPLOC,MINI Call,4.3416,31/12/2029,1.0,American,CITIWARRANTS,COR,13/01/2012,10,Please note this product may have a 4 decimal place barrier price. Refer to daily disclosure documents released by the warrant issuer. 
AMPLOD,GSL MINI Call,3.7808,31/12/2029,1.0,American,CITIWARRANTS,COR,14/10/2015,9.3,
AMPLOP,GSL MINI Put,6.1531,31/12/2029,1.0,American,CITIWARRANTS,COR,19/08/2015,9.3,
AMPLOR,MINI Put,5.2511,31/12/2029,1.0,American,CITIWARRANTS,COR,27/02/2013,10,
AMPLOU,GSL MINI Put,5.4999,31/12/2029,1.0,American,CITIWARRANTS,COR,06/09/2013,9.3,
AMPLOV,GSL MINI Put,5.7488,31/12/2029,1.0,American,CITIWARRANTS,COR,28/10/2014,9.3,
AMPSMB,Self Funding Instalments,5.2132,29/06/2018,1.0,American,MACQUARIE,COR,07/02/2008,10,
AMPSOG,Self Funding Instalments,2.4496,13/12/2019,1.0,American,CITIWARRANTS,COR,19/09/2014,10,
AMPSOM,Self Funding Instalments,2.5663,18/06/2021,1.0,American,CITIWARRANTS,COR,23/06/2016,10,
AMPSSA,Self Funding Instalments,2.8287,08/06/2018,1.0,American,UBS,COR,20/10/2014,10,
AMPSSE,Self Funding Instalments,3.5631,08/06/2018,1.0,American,UBS,COR,31/05/2016,10,
AMPSSJ,Capped SFI,5.34,29/06/2018,1.0,European,UBS,COR,28/06/2017,10,
AMPSSL,Self Funding Instalments,3.3149,08/06/2018,1.0,American,UBS,COR,19/10/2015,10,
AMPSWA,Self Funding Instalments,2.5668,30/06/2022,1.0,American,WESTPAC,COR,08/06/2017,10,
AMPSWR,Self Funding Instalments,3.4508,30/06/2020,1.0,American,WESTPAC,COR,24/04/2015,10,
ANNKOA,MINI Call,20.258,31/12/2029,1.0,American,CITIWARRANTS,COR,11/02/2016,0.53,
ANNKOB,MINI Call,18.6161,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,0.53,
ANNKOQ,MINI Put,29.6564,31/12/2029,1.0,American,CITIWARRANTS,COR,13/01/2017,0.53,
ANNKOR,MINI Put,27.9154,31/12/2029,1.0,American,CITIWARRANTS,COR,30/06/2016,0.53,
ANNSWR,Self Funding Instalments,15.7973,30/06/2020,1.0,American,WESTPAC,COR,24/04/2015,10,
ANNSWT,Self Funding Instalments,10.3367,30/06/2020,1.0,American,WESTPAC,COR,27/11/2015,10,
ANZBOE,Bonus Certificate,0.00,22/11/2017,1.0,American,CITIWARRANTS,COR,06/09/2016,10,
ANZBOF,Bonus Certificate,0.00,22/11/2017,1.0,American,CITIWARRANTS,COR,06/09/2016,10,
ANZBOI,Bonus Certificate,0.00,25/05/2018,1.0,American,CITIWARRANTS,COR,02/02/2017,10,
ANZBOJ,Bonus Certificate,0.00,25/05/2018,1.0,American,CITIWARRANTS,COR,02/02/2017,10,
ANZBON,Bonus Certificate,0.00,25/10/2018,1.0,American,CITIWARRANTS,COR,27/04/2017,10,
ANZBOO,Bonus Certificate,0.00,15/12/2017,1.0,American,CITIWARRANTS,COR,15/06/2017,10,
ANZBOQ,Bonus Certificate,0.00,27/09/2018,1.0,American,CITIWARRANTS,COR,11/08/2017,10,
ANZBOR,Bonus Certificate,0.00,13/12/2018,1.0,American,CITIWARRANTS,COR,11/08/2017,10,
ANZIO1,Instalment Regular Rolling,16.00,04/05/2018,1.0,European,CITIWARRANTS,COR,16/05/2011,10,Please note this Instalment has a Cap Level that can limit upside of capital gains over a specified level. Please refer PDS for full details. 
ANZIO2,Instalment Regular Rolling,14.00,03/11/2017,1.0,European,CITIWARRANTS,COR,07/11/2011,10,Please note this Instalment has a Cap Level that can limit upside of capital gains over a specified level. Please refer PDS for full details. 
ANZIOA,Instalment Regular Rolling,16.00,19/10/2018,1.0,American,CITIWARRANTS,COR,22/10/2015,10,
ANZIOL,Instalment High Geared Rolling,26.50,18/05/2018,1.0,American,CITIWARRANTS,COR,27/05/2010,10,
ANZIOV,Instalment High Geared Rolling,14.00,15/12/2017,1.0,American,CITIWARRANTS,COR,18/12/2013,10,
ANZIOZ,Instalment Regular Rolling,21.00,15/12/2017,1.0,American,CITIWARRANTS,COR,18/12/2013,10,
ANZISF,Capped Instalment,30.15,30/11/2017,1.0,European,UBS,COR,17/02/2017,10,
ANZISI,Instalment Regular Normal,19.449,08/06/2018,1.0,American,UBS,COR,20/10/2014,10,
ANZISK,Instalment Regular Normal,14.956,08/06/2018,1.0,American,UBS,COR,31/05/2016,10,
ANZISN,Instalment Regular Normal,28.0035,20/11/2017,1.0,American,UBS,COR,20/09/2016,10,
ANZISR,Instalment Regular Normal,32.35,30/11/2017,1.0,American,UBS,COR,30/03/2017,10,
ANZISS,Instalment Regular Normal,27.90,30/05/2018,1.0,American,UBS,COR,28/06/2017,10,
ANZIST,Instalment Regular Normal,29.75,30/05/2018,1.0,American,UBS,COR,28/08/2017,10,
ANZISU,Instalment Regular Normal,30.00,30/05/2018,1.0,American,UBS,COR,01/11/2017,10,
ANZIWJ,Instalment Regular Normal,20.85,29/03/2018,1.0,American,WESTPAC,COR,31/01/2017,10,
ANZIWK,Instalment Regular Normal,21.00,28/06/2018,1.0,American,WESTPAC,COR,15/09/2017,10,
ANZIYE,Instalment Regular Rolling,18.0178,19/06/2018,1.0,American,COMM BANK,COR,10/12/2014,0.6,
ANZJOA,Instalment MINI,13.4666,14/04/2020,1.0,American,CITIWARRANTS,COR,11/09/2015,10,
ANZJOE,Instalment MINI,21.7899,14/04/2020,1.0,American,CITIWARRANTS,COR,15/04/2015,10,
ANZJOF,Instalment MINI,14.6255,14/04/2020,1.0,American,CITIWARRANTS,COR,21/12/2015,10,
ANZJOG,Instalment MINI,20.8133,14/04/2020,1.0,American,CITIWARRANTS,COR,21/12/2015,10,
ANZJOJ,Instalment MINI,19.8537,31/05/2018,1.0,American,CITIWARRANTS,COR,04/06/2013,10,
ANZJOM,Instalment MINI,17.8854,20/01/2021,1.0,American,CITIWARRANTS,COR,25/01/2016,10,
ANZJON,Instalment MINI,18.5587,20/01/2021,1.0,American,CITIWARRANTS,COR,03/06/2016,10,
ANZJOX,Instalment MINI,24.6005,18/11/2021,1.0,American,CITIWARRANTS,COR,25/11/2016,10,
ANZJOZ,Instalment MINI,23.1132,18/11/2021,1.0,American,CITIWARRANTS,COR,25/11/2016,10,
ANZKOB,MINI Call,27.3534,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,5.06,
ANZKOC,MINI Call,23.4763,31/12/2029,1.0,American,CITIWARRANTS,COR,27/10/2017,5.06,
ANZKOD,MINI Call,25.9515,31/12/2029,1.0,American,CITIWARRANTS,COR,10/12/2015,5.5,
ANZKOE,MINI Call,26.6642,31/12/2029,1.0,American,CITIWARRANTS,COR,25/05/2017,5.06,
ANZKOG,MINI Call,22.8018,31/12/2029,1.0,American,CITIWARRANTS,COR,20/05/2016,5.5,
ANZKOH,MINI Call,25.3646,31/12/2029,1.0,American,CITIWARRANTS,COR,24/02/2017,5.5,
ANZKOL,MINI Call,19.6522,31/12/2029,1.0,American,CITIWARRANTS,COR,25/05/2017,5.06,
ANZKOM,MINI Call,21.5485,31/12/2029,1.0,American,CITIWARRANTS,COR,11/02/2016,5.5,
ANZKON,MINI Call,19.1384,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,5.06,
ANZKOP,MINI Put,34.0821,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,5.5,
ANZKOR,MINI Put,32.8212,31/12/2029,1.0,American,CITIWARRANTS,COR,23/12/2016,5.5,
ANZKOS,MINI Put,44.1571,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,5.06,
ANZKOU,MINI Put,43.0366,31/12/2029,1.0,American,CITIWARRANTS,COR,25/05/2017,5.06,
ANZKOV,MINI Put,35.4042,31/12/2029,1.0,American,CITIWARRANTS,COR,13/08/2013,8.17,
ANZKOW,MINI Put,38.0999,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,5.06,
ANZKOX,MINI Put,38.7281,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,5.06,
ANZLOA,GSL MINI Call,24.7443,31/12/2029,1.0,American,CITIWARRANTS,COR,01/06/2017,5.06,
ANZLOC,GSL MINI Call,26.2008,31/12/2029,1.0,American,CITIWARRANTS,COR,01/06/2017,5.06,
ANZLOE,GSL MINI Call,27.9277,31/12/2029,1.0,American,CITIWARRANTS,COR,16/11/2016,5.5,
ANZLOF,GSL MINI Call,25.5901,31/12/2029,1.0,American,CITIWARRANTS,COR,16/11/2016,5.5,
ANZLOL,GSL MINI Call,27.2732,31/12/2029,1.0,American,CITIWARRANTS,COR,23/02/2016,5.5,
ANZLOP,GSL MINI Put,34.5352,31/12/2029,1.0,American,CITIWARRANTS,COR,16/11/2016,5.5,
ANZLOT,GSL MINI Put,30.6903,31/12/2029,1.0,American,CITIWARRANTS,COR,06/09/2013,8.1,
ANZLOU,GSL MINI Put,31.55,31/12/2029,1.0,American,CITIWARRANTS,COR,21/06/2016,5.5,
ANZLOV,GSL MINI Put,32.4741,31/12/2029,1.0,American,CITIWARRANTS,COR,21/06/2016,5.5,
ANZLOW,GSL MINI Put,33.0687,31/12/2029,1.0,American,CITIWARRANTS,COR,21/06/2016,5.5,
ANZMOR,MINI Put,36.6774,31/12/2029,1.0,American,CITIWARRANTS,COR,23/12/2016,5.5,
ANZMOS,MINI Put,37.2986,31/12/2029,1.0,American,CITIWARRANTS,COR,13/01/2017,5.5,
ANZMOT,MINI Put,38.6192,31/12/2029,1.0,American,CITIWARRANTS,COR,13/01/2017,5.5,
ANZQOJ,MINI Call,20.9565,31/12/2029,1.0,American,CITIWARRANTS,COR,14/09/2015,5.5,
ANZSMB,Self Funding Instalments,11.2109,29/06/2018,1.0,American,MACQUARIE,COR,07/02/2008,10,
ANZSO1,Barrier SFI,16.4881,06/12/2019,1.0,American,CITIWARRANTS,COR,09/12/2014,10,
ANZSO2,Barrier SFI,13.5632,14/04/2020,1.0,American,CITIWARRANTS,COR,11/09/2015,10,
ANZSOA,Self Funding Instalments,16.0357,13/12/2019,1.0,American,CITIWARRANTS,COR,23/11/2016,10,
ANZSOG,Self Funding Instalments,14.2773,13/12/2019,1.0,American,CITIWARRANTS,COR,19/09/2014,10,
ANZSOH,Self Funding Instalments,16.4119,23/06/2020,1.0,American,CITIWARRANTS,COR,24/06/2015,10,
ANZSOM,Self Funding Instalments,10.4443,18/06/2021,1.0,American,CITIWARRANTS,COR,23/06/2016,10,
ANZSOP,Self Funding Instalments,17.00,17/06/2022,1.0,American,CITIWARRANTS,COR,26/10/2017,10,
ANZSSA,Self Funding Instalments,17.3814,08/06/2018,1.0,American,UBS,COR,20/10/2014,10,
ANZSSE,Self Funding Instalments,16.153,08/06/2018,1.0,American,UBS,COR,31/05/2016,10,
ANZSSI,Capped SFI,29.569,29/06/2018,1.0,European,UBS,COR,28/06/2017,10,
ANZSSJ,Capped SFI,29.569,29/06/2018,1.0,European,UBS,COR,28/06/2017,10,
ANZSSL,Self Funding Instalments,15.8642,08/06/2018,1.0,American,UBS,COR,19/10/2015,10,
ANZSSY,Self Funding Instalments,32.95,02/05/2018,1.0,American,UBS,COR,04/05/2017,10,
ANZSSZ,Self Funding Instalments,13.3515,08/06/2018,1.0,American,UBS,COR,12/04/2016,10,
ANZSWA,Self Funding Instalments,15.1965,30/06/2022,1.0,American,WESTPAC,COR,08/06/2017,10,
ANZSWR,Self Funding Instalments,18.5402,30/06/2020,1.0,American,WESTPAC,COR,24/04/2015,10,
ANZSWT,Self Funding Instalments,12.7004,30/06/2020,1.0,American,WESTPAC,COR,27/11/2015,10,
ANZSWW,Self Funding Instalments,10.5232,30/06/2020,1.0,American,WESTPAC,COR,29/04/2016,10,
ANZSWY,Self Funding Instalments,20.9122,28/06/2018,1.0,American,WESTPAC,COR,31/01/2017,5,
ANZWOC,Equity Call,29.00,21/12/2017,4.0,European,CITIWARRANTS,COR,24/05/2017,40,
ANZWOD,Equity Call,31.00,21/12/2017,4.0,European,CITIWARRANTS,COR,24/05/2017,40,
ANZWOR,Equity Put,28.00,21/12/2017,4.0,European,CITIWARRANTS,COR,24/05/2017,40,
ANZWOS,Equity Put,26.00,21/12/2017,4.0,European,CITIWARRANTS,COR,24/05/2017,40,
ANZXOA,Barrier Call,27.00,28/06/2018,2.0,European,CITIWARRANTS,COR,24/05/2017,20,
ANZXOB,Barrier Call,25.00,28/06/2018,2.0,European,CITIWARRANTS,COR,24/05/2017,20,
ANZXOP,Barrier Put,30.00,28/06/2018,2.0,European,CITIWARRANTS,COR,24/05/2017,20,
ANZXOQ,Barrier Put,32.00,28/06/2018,2.0,European,CITIWARRANTS,COR,24/05/2017,20,
APABOI,Bonus Certificate,0.00,25/05/2018,1.0,American,CITIWARRANTS,COR,02/02/2017,10,
APAJOA,Instalment MINI,4.6078,18/11/2021,1.0,American,CITIWARRANTS,COR,25/11/2016,10,
